,samples,method,return,Dev. MF,Dev. Policy
1,6,MFIRL,21.26678002628962,1.5884172597532629,0.4247470026257305
2,6,EXPERT,21.691489980170484,0.0,0.0
0,7,PIAIRL,21.382758129763523,0.6391473605996715,0.32503323316429145
1,7,MFIRL,21.128018328741373,0.7687249021427307,0.6025759785126648
2,7,EXPERT,21.691489980170484,0.0,0.0
0,8,PIAIRL,21.41984669604862,0.6389314334195135,0.2915968130557618
1,8,MFIRL,21.24815187341179,0.906238858468059,0.4863781287254184
2,8,EXPERT,21.691489980170484,0.0,0.0
0,9,PIAIRL,21.30717371364823,1.12044424023184,0.3700202276743741
1,9,MFIRL,21.357206897410958,0.5402463986542118,0.3773089726751525
2,9,EXPERT,21.691489980170484,0.0,0.0
0,10,PIAIRL,21.479718591250148,0.6326212128817712,0.20664174205858973
1,10,MFIRL,21.48488464811603,1.0690743096638609,0.21975702846211365
2,10,EXPERT,21.691489980170484,0.0,0.0
0,1,PIAIRL,21.41685645004504,0.32273874790784474,0.3004725976180505
1,1,MFIRL,21.48947385631022,0.46936677360816004,0.21697995744303838
2,1,EXPERT,21.691489980170484,0.0,0.0
0,2,PIAIRL,21.306554004109284,0.6079742432301781,0.4194551920314311
1,2,MFIRL,21.285273583774693,1.3486676668493467,0.44129688743477596
2,2,EXPERT,21.691489980170484,0.0,0.0
0,3,PIAIRL,21.421725584177302,0.5020323348130502,0.3037408619049432
1,3,MFIRL,21.405786449401624,1.3045963528117919,0.29024648884036647
2,3,EXPERT,21.691489980170484,0.0,0.0
0,4,PIAIRL,21.14347909869324,0.9721806071505871,0.5937452216128878
1,4,MFIRL,21.41968984860743,0.3963147702183307,0.291021078265436
2,4,EXPERT,21.691489980170484,0.0,0.0
0,5,PIAIRL,21.412300589760292,0.8783048390848696,0.3080453201687427
1,5,MFIRL,21.34726766815256,0.6783329061079899,0.37462770101767306
2,5,EXPERT,21.691489980170484,0.0,0.0
0,6,PIAIRL,21.4630580505693,0.47242013452328757,0.24936565728543103
1,6,MFIRL,21.310739578578723,0.6561435778130719,0.4393568124292323
2,6,EXPERT,21.691489980170484,0.0,0.0
0,7,PIAIRL,21.18953838428908,0.7769779129647717,0.5580607895269367
1,7,MFIRL,21.252752009612294,0.8292027860542864,0.46475725042606225
2,7,EXPERT,21.691489980170484,0.0,0.0
0,8,PIAIRL,21.31985786174931,0.5243588545449496,0.3976643262874261
1,8,MFIRL,20.96566635674198,0.7460761549680319,0.7400873432870255
2,8,EXPERT,21.691489980170484,0.0,0.0
0,9,PIAIRL,21.33527548084404,0.8526822400384643,0.4012214713407447
1,9,MFIRL,21.437540391424047,0.5743832722055071,0.27617850670769073
2,9,EXPERT,21.691489980170484,0.0,0.0
0,10,PIAIRL,21.409069222869984,0.5414391341933563,0.2859612855598922
1,10,MFIRL,21.34918064515445,0.8560230089162643,0.37291337893068977
2,10,EXPERT,21.691489980170484,0.0,0.0
0,1,PIAIRL,21.555560220591488,0.6305331968639891,0.1410636471050632
1,1,MFIRL,21.398369464538558,0.8845526348505094,0.29369534087798344
2,1,EXPERT,21.691489980170484,0.0,0.0
